symbol,side,entry_price,exit_price,quantity,stop,target,risk_usdt,gross_pnl,fee_usdt,pnl,result,close_reason,opened_at,closed_at,balance_after
BTCUSDT,SHORT,75785.0,76203.33682404779,0.12036670878690911,76203.33682404779,74948.32635190443,50.353826675,-50.35382668,18.29433588,-68.64816255,LOSS,STOP_LOSS,2026-07-26T11:58:22.547281+00:00,2026-07-26T11:58:22.547640+00:00,10002.11717245
SOLUSDT,SHORT,96.18,93.75911683923455,41.31598473875717,97.39044158038274,93.75911683923455,50.01058586225,100.02117172,7.84752165,92.17365007,WIN,TAKE_PROFIT,2026-07-26T11:58:22.549562+00:00,2026-07-26T11:58:22.550189+00:00,10094.29082252
BTCUSDT,SHORT,75313.9,74300.54513848676,0.09961259580327363,75820.57743075662,74300.54513848676,50.47145411260001,100.94290823,14.90348325,86.03942498,WIN,TAKE_PROFIT,2026-07-26T11:58:22.552043+00:00,2026-07-26T11:58:22.552397+00:00,10180.3302475
BTCUSDT,SHORT,74328.9,75018.19829277415,0.07384560758541957,75018.19829277415,72950.30341445169,50.9016512375,-50.90165124,11.02862721,-61.93027845,LOSS,STOP_LOSS,2026-07-26T11:58:22.554156+00:00,2026-07-26T11:58:22.554407+00:00,10118.39996905
BTCUSDT,SHORT,74821.5,73270.36745627657,0.06523233626935052,75597.06627186171,73270.36745627657,50.59199984525,101.18399969,9.6603785,91.52362119,WIN,TAKE_PROFIT,2026-07-26T11:58:22.556248+00:00,2026-07-26T11:58:22.556706+00:00,10209.92359024
BTCUSDT,SHORT,73074.7,74047.23725669397,0.05249116946402318,74047.23725669397,71129.62548661203,51.0496179512,-51.04961795,7.72260254,-58.77222049,LOSS,STOP_LOSS,2026-07-26T11:58:22.558602+00:00,2026-07-26T11:58:22.559252+00:00,10151.15136975
BTCUSDT,SHORT,73961.9,71613.76559031205,0.04323070829279762,75135.96720484397,71613.76559031205,50.755756848749996,101.5115137,6.29333913,95.21817456,WIN,TAKE_PROFIT,2026-07-26T11:58:22.561070+00:00,2026-07-26T11:58:22.562503+00:00,10246.36954431
BTCUSDT,SHORT,72294.3,70388.96118542063,0.053777152209918196,73246.96940728968,70388.96118542063,51.23184772155,102.46369544,7.67309945,94.79059599,WIN,TAKE_PROFIT,2026-07-26T11:58:22.564406+00:00,2026-07-26T11:58:22.565050+00:00,10341.1601403
ETHUSDT,SHORT,2093.48,2134.4980114803557,1.2605633192692234,2134.4980114803557,2011.4439770392892,51.705800701499996,-51.7058007,5.329634,-57.0354347,LOSS,STOP_LOSS,2026-07-26T11:58:22.566946+00:00,2026-07-26T11:58:22.567757+00:00,10284.1247056
BTCUSDT,SHORT,71327.4,69886.4790035996,0.07137188458833645,72047.8604982002,69886.4790035996,51.42062352799999,102.84124706,10.07870067,92.76254638,WIN,TAKE_PROFIT,2026-07-26T11:58:22.569846+00:00,2026-07-26T11:58:22.570214+00:00,10376.88725198
BTCUSDT,SHORT,70445.4,68801.8095096264,0.06313547877501616,71267.19524518678,68801.8095096264,51.88443625989999,103.76887252,8.79143924,94.97743328,WIN,TAKE_PROFIT,2026-07-26T11:58:22.572736+00:00,2026-07-26T11:58:22.573796+00:00,10471.86468526
